index_sort,page,block,line,x0,y0,x2,y2,Text,space_type,confidence
0,0,0,0,515,60,536,75,Form,1,0.9850000143051147
3,0,0,0,540,60,559,75,AP-9,3,0.9575000107288361
4,0,0,1,64,76,139,107,TEXAS,1,0.9900000095367432
5,0,0,1,177,76,255,107,STATE,5,0.9800000190734863
6,0,0,2,428,78,462,93,Student,1,0.9900000095367432
7,0,0,2,465,78,521,93,Organization,1,0.9958333373069763
8,0,0,2,525,78,560,93,Account,5,0.9928571496691022
9,0,0,3,456,94,494,111,Payment,1,0.9942857197352818
10,0,0,3,498,94,533,111,Request,1,0.9842857207570758
11,0,0,3,537,94,558,111,Form,3,0.9849999994039536
12,0,0,4,87,117,226,139,UNIVERSITY,3,0.997000002861023
13,0,0,5,56,154,92,173,Complete,1,0.9800000116229057
14,0,0,5,95,154,110,173,this,1,0.9925000071525574
15,0,0,5,111,154,126,173,form,1,0.987500011920929
16,0,0,5,133,154,140,173,as,1,0.9800000190734863
17,0,0,5,142,154,147,173,a,1,0.9399999976158142
18,0,0,5,148,154,171,173,filable,1,0.8028571435383388
20,0,0,5,174,154,194,173,PDF.,1,0.7499999850988388
21,0,0,5,197,154,217,173,Select,1,0.9800000091393789
22,0,0,5,221,154,232,173,the,1,0.996666669845581
23,0,0,5,236,154,248,173,link,1,0.9775000065565109
24,0,0,5,251,154,258,173,to,1,0.9950000047683716
25,0,0,5,261,154,282,173,review,1,0.9850000043710073
26,0,0,5,287,154,300,173,the,1,0.9900000095367432
27,0,0,5,304,154,346,173,instructions,1,0.9925000021855036
28,0,0,5,349,154,368,173,prior,1,0.8920000195503235
29,0,0,5,369,154,376,173,to,1,1.0
30,0,0,5,378,154,420,173,completing,1,0.9840000092983245
37,0,0,5,460,154,553,169,AP-9-Form-Instructions,3,0.929090906273235
38,0,0,6,56,173,90,191,VENDOR,1,0.9816666742165884
39,0,0,6,94,173,153,191,INFORMATION,3,0.9909090941602533
40,0,0,7,57,199,82,212,Vendor,1,0.9950000047683716
41,0,0,7,86,199,106,212,Name,1,0.9699999988079071
42,0,0,7,147,195,160,211,Mr.,1,0.9933333396911621
43,0,0,7,165,195,184,211,Abc,1,0.9733333388964335
44,0,0,7,189,195,218,211,Smith,5,0.9920000076293946
45,0,0,8,357,199,376,215,SAP,1,0.9900000095367432
46,0,0,8,379,199,405,215,Vendor,1,0.925000011920929
47,0,0,8,409,199,438,215,Number,2,0.9816666642824808
48,0,0,8,439,199,440,215,:,3,0.9700000286102295
49,0,0,9,56,216,81,231,Mailing,1,0.86285714166505
50,0,0,9,85,215,113,231,Address,1,0.962857152734484
51,0,0,9,140,215,296,232,smithabc@contactme.com,3,0.9845454611561515
52,0,0,10,57,235,71,252,City,1,0.9025000184774399
53,0,0,10,75,235,92,252,State,1,0.8379999995231628
54,0,0,10,96,235,100,252,&,1,0.9100000262260437
55,0,0,10,104,235,114,252,Zip,1,0.9099999864896139
57,0,0,10,140,234,193,250,"Houston,",1,0.9975000023841858
59,0,0,10,197,234,211,249,"TX,",1,0.6866666674613953
60,0,0,10,215,234,247,248,45001,5,0.8320000052452088
61,0,1,0,57,268,96,282,PAYMENT,1,0.9957142898014614
62,0,1,0,100,268,159,282,INFORMATION,5,0.996363639831543
63,0,2,0,241,267,280,282,ACCOUNT,1,0.9928571496691022
64,0,2,0,284,267,338,282,ASSIGNMENT,5,0.9940000057220459
65,0,3,0,56,295,81,310,Invoice,1,0.890000011239733
66,0,3,0,84,295,113,310,Number,1,0.9833333392937978
67,0,3,0,156,295,195,306,145632,3,0.9900000095367432
70,0,3,1,57,313,118,330,Purchase/Service,1,0.9675000086426735
71,0,3,1,122,313,137,330,Date,1,0.9800000041723251
72,0,3,1,146,313,225,330,2020-11-12,5,0.9900000095367432
73,0,4,0,240,295,258,306,Fund,5,0.9725000113248825
74,0,4,1,322,296,370,308,9100001000,1,0.9910000085830688
76,0,4,1,380,296,393,308,(AP,1,0.9666666785875956
77,0,4,1,397,296,410,308,Use,1,0.9466666777928671
79,0,4,1,414,296,434,308,Only),3,0.8220000088214874
80,0,4,2,241,315,257,329,Club,1,0.9950000047683716
81,0,4,2,261,315,293,329,Account,1,0.9942857197352818
82,0,4,2,296,315,328,329,Number,1,1.0
83,0,4,2,358,312,427,328,4688263292,3,0.9900000095367432
84,0,4,3,241,334,258,350,Club,1,0.9925000071525574
85,0,4,3,261,334,284,351,Name,5,0.9900000095367432
86,0,4,4,337,332,372,349,Malibu,1,0.9950000047683716
87,0,4,4,381,332,403,349,Club,5,0.9850000143051147
88,0,5,0,155,380,161,389,GL,1,0.8050000071525574
89,0,5,0,164,380,187,389,Account,5,0.9785714319774083
90,0,5,1,284,380,291,390,GL,1,0.9800000190734863
91,0,5,1,293,380,316,390,Account,1,0.9600000040871757
92,0,5,1,320,380,352,390,Description,1,0.9872727285731923
93,0,5,1,355,380,358,390,&,1,0.9900000095367432
94,0,5,1,361,380,391,390,Additional,1,0.8760000109672547
95,0,5,1,394,380,428,390,Information,1,0.9136363755572926
96,0,5,1,430,380,453,390,Request,3,0.9885714394705636
97,0,5,2,158,397,184,406,729900,1,0.9900000095367432
98,0,5,2,194,397,222,406,Payment,1,0.8371428506714957
99,0,5,2,225,397,230,406,of,1,0.9850000143051147
101,0,5,2,233,397,257,406,"Services,",1,0.9822222391764323
104,0,5,2,260,397,327,407,HonorariumsSpeakers,5,0.9457894846012718
105,0,6,0,158,416,184,427,740600,1,0.9900000095367432
106,0,6,0,195,416,215,427,Rental,1,0.926666667064031
107,0,6,0,218,416,222,427,of,1,0.9600000083446503
108,0,6,0,225,416,256,427,Equipment,5,0.8788888884915246
109,0,7,0,57,361,108,372,ALLOCATION,5,0.9940000057220459
110,0,7,1,88,379,111,387,Amount,3,0.9933333396911621
111,0,7,2,62,395,65,406,$,1,0.9900000095367432
112,0,7,2,87,397,109,407,1200,3,0.9900000095367432
113,0,7,3,62,415,65,425,$,5,0.9900000095367432
114,0,7,4,90,416,106,427,300,3,0.9900000095367432
115,0,7,5,62,435,65,445,$,1,0.9900000095367432
116,0,7,5,88,437,110,447,1500,3,0.9900000095367432
117,0,7,6,62,453,65,464,$,5,0.9900000095367432
118,0,7,7,87,457,108,466,3000,3,0.9900000095367432
119,0,7,8,62,473,66,483,$,1,0.9900000095367432
120,0,7,8,90,474,107,486,600,3,0.9933333396911621
121,0,7,9,62,492,65,502,$,1,0.8500000238418579
122,0,7,9,88,492,115,502,15000,5,0.9900000095367432
123,0,8,0,158,434,184,445,747000,1,0.9900000095367432
124,0,8,0,195,435,214,445,Rental,1,0.97666667898496
125,0,8,0,218,436,222,445,of,1,0.8250000178813934
126,0,8,0,225,436,242,446,Space,5,0.9320000171661377
127,0,9,0,158,455,183,465,770001,1,0.9900000095367432
128,0,9,0,195,455,210,465,Cash,1,0.947500005364418
129,0,9,0,212,455,233,465,Awards,1,0.9666666785875956
130,0,9,0,236,455,238,465,/,1,0.9100000262260437
131,0,9,0,241,455,257,465,Prizes,3,0.765000008046627
132,0,9,1,158,474,184,485,773000,1,0.9916666746139526
134,0,9,1,195,474,248,485,"Reimbursements,",1,0.9253333449363709
136,0,9,1,250,474,275,485,"Supplies,",1,0.8966666658719381
138,0,9,1,278,474,317,485,"Registrations,",1,0.77214287008558
140,0,9,1,320,474,339,485,"Travel,",1,0.8385714249951499
141,0,9,1,342,474,355,485,Cash,1,0.8174999803304672
142,0,9,1,358,474,384,485,Advances,3,0.9812500029802322
143,0,9,2,158,494,184,503,767900,1,0.9216666718324026
144,0,9,2,202,492,244,504,Scholarships,1,0.9325000097354254
145,0,9,2,269,495,291,505,Student,1,0.9728571687425885
146,0,9,2,293,495,302,505,ID,5,0.35500000417232513
147,0,9,3,388,493,406,503,Award,1,0.9740000009536743
149,0,9,3,409,493,419,503,W./,1,0.6066666593154272
150,0,9,3,421,493,447,503,Semester,3,0.858750008046627
151,0,9,4,143,514,174,530,TOTAL,1,0.9920000076293946
154,0,9,4,177,514,294,530,PAYMENT/REIMBURSEMENT,5,0.9909523867425465
155,0,10,0,63,514,67,529,$,1,0.9900000095367432
156,0,10,0,74,514,78,529,0,1,0.9599999785423279
157,0,10,0,85,512,115,528,21600,5,0.9640000104904175
158,0,11,0,57,547,94,565,PURPOSE,1,0.9928571496691022
159,0,11,0,97,547,107,565,OF,1,0.9850000143051147
160,0,11,0,111,547,151,565,PAYMENT,2,0.9585714340209961
161,0,11,0,153,547,154,565,:,1,0.6600000262260437
162,0,11,0,159,547,193,565,Describe,1,0.9887500032782555
164,0,11,0,196,547,215,565,"who,",1,0.9825000017881393
166,0,11,0,219,547,242,565,"what,",1,0.9740000009536743
168,0,11,0,245,547,265,565,"why,",1,0.9525000005960464
170,0,11,0,267,547,295,565,"where,",1,0.9950000047683716
